song_city,song_state,song_artist,song_name
Iowa,Iowa,Dar Williams,Iowa [DVD]
Iowa,Iowa,Manfred Mann's Earth Band,Stranded
Iowa,Iowa,Dar Williams,Iowa (Traveling III)
Iowa,Iowa,"Sonny Boy Williamson I, Sonny Boy Williamson II",Willow Tree Gal
Iowa,Iowa,Willie Nelson,Sioux City Sue
Iowa,Iowa,John Linnell,Iowa
Iowa,Iowa,Ani DiFranco,4th of July
Iowa,Iowa,The Mountain Goats,Birth of Serpents
Iowa,Iowa,Kevin Costner & Modern West,Leland Iowa
Iowa,Iowa,Animaniacs,Wakko's America
Iowa,Iowa,John Grant,Diet Gum
Iowa,Iowa,Frank Sinatra,Sunflower
Iowa,Iowa,Mel Tormé,Lonely Town
Iowa,Iowa,Frank Sinatra,Lonely Town
Iowa,Iowa,Robert Johnson,Sweet Home Chicago
Iowa,Iowa,The Yardbirds,Psycho Daisies
Iowa,Iowa,Led Zeppelin,Sweet Home Chicago
Iowa,Iowa,Johnny Horton,The First Train Headin' South
Iowa,Iowa,Johnny Cash,She Came from the Mountains
Iowa,Iowa,Johnny Cash,Lumberjack
Iowa,Iowa,Willie Nelson,Lumberjack
Iowa,Iowa,The Manhattan Transfer,The Duke of Dubuque
Iowa,Iowa,John Lee Hooker,Sweet Home Chicago
Iowa,Iowa,Allan Sherman,Holiday for States
Iowa,Iowa,B.J. Thomas,City Boys
Iowa,Iowa,"John Hammond, Jr.",Sweet Home Chicago
Iowa,Iowa,"Slick Rick, Renee Neufville, Common",Don't Come My Way
Iowa,Iowa,Tom T. Hall,It Sure Can Get Cold in Des Moines
Iowa,Iowa,C.W. McCall,Sloan
Iowa,Iowa,Tom Waits,Heartattack and Vine
Iowa,Iowa,Pavement,Forklift
Iowa,Iowa,Colt Ford,What I Call Home
Iowa,Iowa,Chingy,Gettin' It
Iowa,Iowa,C.W. McCall,Audubon
Iowa,Iowa,Insane Clown Posse,The Smog
Iowa,Iowa,Slick Rick,Don't Come My Way
Iowa,Iowa,Young MC,Got More Rhymes
Iowa,Iowa,Claude King,First Train Headin' South
Iowa,Iowa,Magnetic Fields,When the Open Road Is Closing In
Iowa,Iowa,Guided by Voices,Burning Flag Birthday Suit
Iowa,Iowa,"G Herbo, Lil Durk",Real One
Iowa,Iowa,Pato Banton,Go Pato
Iowa,Iowa,'Til Tuesday,Coming up Close
Iowa,Iowa,The Dead Milkmen,Stuart
Iowa,Iowa,Damn Yankees,Piledriver
Iowa,Iowa,Afroman,Crazy Rap
Iowa,Iowa,Josh Ritter,The Curse
Iowa,Iowa,Ellis Paul,Goodbye Hollywood
Iowa,Iowa,Owl City,The 5th Of July
Iowa,Iowa,Lil Durk,WhatYo City Like
Iowa,Iowa,Bo Bice,Wild Roses
Iowa,Iowa,Afroman,Colt 45
Iowa,Iowa,Afroman,Crazy Rap (Colt 45 & 2 Zig Zags)
Iowa,Iowa,Vincent Poag,New Orleans
Iowa,Iowa,Bowling for Soup,Go To Bed Mad
Iowa,Iowa,Kids Learning Tube ,50 States Of America
Iowa,Iowa,Fuguers Cove,Picnic
Iowa,Iowa,DJ Paimon,Lemme Turn Up (feat. Big Flxx)
Iowa,Iowa,The Dependent Clause,Exit 182
Iowa,Iowa,The Good Life,Lovers Need Lawyers
Iowa,Iowa,BoySetsFire,When Rhetoric Dies
Iowa,Iowa,Jeremy Fisher,Fall for Anything
Iowa,Iowa,Rasputina,The 2 Miss Leavens
Iowa,Iowa,Peter Green Splinter Group,Sweet Home Chicago
Iowa,Iowa,Hanalei,Beacon in the Distance
Iowa,Iowa,James McMurtry,Holiday
Iowa,Iowa,Fred Eaglesmith,18 Wheels
Iowa,Iowa,Renald Francoeur,Tour The States
Iowa,Iowa,Caroline's Spine,Sullivan
Iowa,Iowa,Dead Celebrity Status,In My Backyard
Iowa,Iowa,The Matches,From 24C
Iowa,Iowa,Andy Bey,Lonely Town
Iowa,Iowa,"P-Lo, Guapdad 4000, Destiny Rogers",Lo Lo
Iowa,Iowa,Lovers,No Words Allowed
Iowa,Iowa,Ookla the Mok,Tiberius Rising
Iowa,Iowa,Hasan Salaam,Blaxploitation
Iowa,Iowa,Anaïs,PEUT-ETRE UNE ANGINE
Iowa,Iowa,Terra Lightfoot,Stars over Dakota
Des Moines,Iowa,Joni Mitchell,The Dry Cleaner from des Moines
Des Moines,Iowa,Georges Brassens,Tempête Dans un Bénitier
Des Moines,Iowa,"Sonny Boy Williamson I, Sonny Boy Williamson II",Willow Tree Gal
Des Moines,Iowa,Tom T. Hall,It Sure Can Get Cold in Des Moines
Des Moines,Iowa,Spymob,Fly Fly Fishing Poles
Des Moines,Iowa,The Dead Milkmen,Stuart
Des Moines,Iowa,The Anniversary,The D in Detroit
Des Moines,Iowa,Robert Johnson,Sweet Home Chicago
Des Moines,Iowa,Led Zeppelin,Sweet Home Chicago
Des Moines,Iowa,Johnny Cash,My Cowboy's Last Ride
Des Moines,Iowa,The Andrews Sisters,(I'm Getting) Corns for My Country
Des Moines,Iowa,The Andrews Sisters,Corns For My Country
Des Moines,Iowa,John Denver,Late Night Radio
Des Moines,Iowa,John Denver,Late Nite Radio
Des Moines,Iowa,B.o.B,Ray Bands
Des Moines,Iowa,John Lee Hooker,Sweet Home Chicago
Des Moines,Iowa,"John Hammond, Jr.",Sweet Home Chicago
Des Moines,Iowa,Limp Bizkit,Show Me What You Got
Des Moines,Iowa,Limp Bizkit,Show Me What You Got [DVD]
Des Moines,Iowa,Justin Moore,Flyin' Down a Back Road
Des Moines,Iowa,IAM,"Quand tu allais, on revenait"
Des Moines,Iowa,Georges Brassens,Melanie
Des Moines,Iowa,Drive-By Truckers,Santa Fe
Des Moines,Iowa,Jo Dee Messina,"Heads Carolina, Tails California"
Des Moines,Iowa,Danielle Bradbery,"Heads Carolina, Tails California"
Des Moines,Iowa,Georges Brassens,Le Moyenâgeux
Des Moines,Iowa,Lonnie Brooks,Sweet Home Chicago
Des Moines,Iowa,Médine,Porteur saint
Des Moines,Iowa,Animaniacs,Wakko's America
Des Moines,Iowa,Damn Yankees,Piledriver
Des Moines,Iowa,Big Thief,Shark Smile
Des Moines,Iowa,LA CHANSON DU DIMANCHE,JE NE RESSEMBLE PAS
Des Moines,Iowa,Brigitte Fontaine,La Viande
Des Moines,Iowa,Bloodhound Gang,Going Nowhere Slow
Des Moines,Iowa,Bowling for Soup,Go To Bed Mad
Des Moines,Iowa,Kids Learning Tube ,50 States Of America
Des Moines,Iowa,B.Well,Slow Me Down (feat. Apollo Spacey)
Des Moines,Iowa,Purple Mountains,That's Just the Way That I Feel
Des Moines,Iowa,Les Sans Culottes,Demimonde
Des Moines,Iowa,1998 Royal National Theatre Cast,Finale Ultimo
Des Moines,Iowa,Apollo Sunshine,Happening
Des Moines,Iowa,The Fiery Furnaces,Mason City
Des Moines,Iowa,Peter Green Splinter Group,Sweet Home Chicago
Des Moines,Iowa,Les Claypool,Iowan Gal
Des Moines,Iowa,Hooss,À la gratte
Des Moines,Iowa,Renald Francoeur,Tour The States
Des Moines,Iowa,Pierre Perret,Marie-lou
Des Moines,Iowa,Dan Bern,Black Tornado
Des Moines,Iowa,Cursive,Target Group
Des Moines,Iowa,Rick Carter,"Heads Carolina, Tails California"
Des Moines,Iowa,Dick Annegarn,Prune
Des Moines,Iowa,"Sonic, Taste T",Yes We Can Eighty-Eight [Original Mix]
Des Moines,Iowa,Pierre Perret,Nos amies les bêtes
Des Moines,Iowa,Maissa,L'Eaumelie (Ft. Maissa Camara)
Des Moines,Iowa,"Halloween, Alaska",Des Moines
Des Moines,Iowa,Kingdom Heirs,"Heads Carolina, Tails Carolina"
Des Moines,Iowa,"Juicy P, Alkpote",Cercle fermé
Des Moines,Iowa,Dark Sanctuary,Le Paradis Noir
Des Moines,Iowa,Yves Duteil,La Tibetaine
Des Moines,Iowa,Nana Mouskouri,Ah! Si Mon Moine
Des Moines,Iowa,Mediæval Bæbes,Ah! Si Mon Moine
Des Moines,Iowa,IAM,Un bon son brut pour les truands
Des Moines,Iowa,Rémy,Notes de piano 1/2
Des Moines,Iowa,The Box,MONT ST-MICHEL
Des Moines,Iowa,Sniper,Empire
Des Moines,Iowa,Mass Hysteria,L'enfer des dieux
Des Moines,Iowa,Red Cross,CDWB
